customerID,churn_probability,risk_segment,MonthlyCharges,TotalCharges,Churn
7005-CYUIL,0.02708359,Low Risk,99.4,7168.25,No
4821-WQOYN,0.033433374,Low Risk,20.1,1326.25,No
4730-AWNAU,0.36406985,Medium Risk,60.7,2234.55,No
3452-FLHYD,0.2263085,Low Risk,20.95,495.15,No
2388-LAESQ,0.036755502,Low Risk,114.85,8317.95,No
9531-NSBMR,0.21690746,Low Risk,19.25,679.8,No
6260-ONULR,0.51550835,High Risk,62.8,62.8,No
4389-UEFCZ,0.05068174,Low Risk,105.5,7544.0,No
8711-LOBKY,0.039745804,Low Risk,19.85,1188.25,No
9134-CEQMF,0.5442655,High Risk,89.5,676.7,Yes
8985-OOPOS,0.28859088,Low Risk,74.1,74.1,No
8800-ZKRFW,0.4100511,Medium Risk,107.5,3242.5,No
2616-FLVQC,0.037259597,Low Risk,19.55,1240.15,No
9968-FFVVH,0.22161144,Low Risk,68.8,4111.35,No
3108-PCCGG,0.053428173,Low Risk,84.45,5899.85,No
7993-PYKOF,0.27594262,Low Risk,75.0,632.95,Yes
8390-FESFV,0.04287882,Low Risk,84.5,5193.2,No
3022-BEXHZ,0.05333029,Low Risk,111.2,7530.8,No
5027-XWQHA,0.4603078,Medium Risk,44.75,270.95,Yes
6248-TKCQV,0.040643934,Low Risk,80.6,5460.2,No
6729-GDNGC,0.49017495,Medium Risk,80.7,1614.2,No
6198-ZFIOJ,0.5083321,High Risk,75.6,402.5,No
5989-OMNJE,0.41924223,Medium Risk,57.6,1367.75,No
4566-QVRRW,0.41466358,Medium Risk,44.05,483.7,Yes
1291-CUOCY,0.05964772,Low Risk,110.6,7962.2,No
9795-SHUHB,0.029079707,Low Risk,58.2,3810.8,No
3230-IUALN,0.031482525,Low Risk,81.0,3533.6,No
0042-RLHYP,0.0660041,Low Risk,19.7,1396.9,No
8519-IMDHU,0.45647776,Medium Risk,85.6,1345.55,Yes
4945-RVMTE,0.24994318,Low Risk,59.55,1646.45,No
0201-OAMXR,0.30218047,Medium Risk,115.55,8127.6,Yes
1866-NXPSP,0.12041608,Low Risk,75.55,2680.15,No
3372-KWFBM,0.53859186,High Risk,86.6,1281.0,Yes
7831-QGOXH,0.5231297,High Risk,85.2,1553.9,Yes
6393-WRYZE,0.54222864,High Risk,97.65,3207.55,Yes
3941-XTSKM,0.33304244,Medium Risk,45.1,2049.05,No
1661-CZBAU,0.28736785,Low Risk,70.95,3629.2,No
6599-RCLCJ,0.45448187,Medium Risk,109.55,5124.55,Yes
9831-BPFRI,0.31487203,Medium Risk,89.55,3474.45,Yes
5158-RIVOP,0.04483755,Low Risk,20.9,202.3,No
9788-YTFGE,0.32259807,Medium Risk,19.95,147.5,No
9277-JOOMO,0.39062434,Medium Risk,24.6,86.35,No
1907-YLNYW,0.23564011,Low Risk,66.7,579.0,No
1725-MIMXW,0.4113557,Medium Risk,19.45,19.45,Yes
8947-YRTDV,0.12215134,Low Risk,94.8,3131.55,No
3161-ONRWK,0.14626274,Low Risk,65.85,3928.3,No
0114-RSRRW,0.33691892,Medium Risk,19.95,187.75,No
4565-NLZBV,0.037450492,Low Risk,24.65,1710.15,No
0031-PVLZI,0.38980746,Medium Risk,20.35,76.35,Yes
7206-GZCDC,0.5495367,High Risk,69.25,69.25,Yes
6682-VCIXC,0.17761646,Low Risk,51.25,2151.6,No
4791-QRGMF,0.35492048,Medium Risk,99.5,5961.1,Yes
6475-VHUIZ,0.26939386,Low Risk,54.25,1221.55,No
3910-MRQOY,0.12481392,Low Risk,19.4,1496.45,No
0661-WCQNQ,0.17566887,Low Risk,56.25,1292.2,No
7537-RBWEA,0.43211982,Medium Risk,25.15,25.15,No
4656-CAURT,0.07904506,Low Risk,23.95,1713.1,No
0121-SNYRK,0.21512221,Low Risk,35.4,1748.9,No
1768-ZAIFU,0.4680891,Medium Risk,25.2,25.2,Yes
4671-LXRDQ,0.37966445,Medium Risk,45.0,96.45,Yes
3733-LSYCE,0.4109857,Medium Risk,75.35,1114.55,No
6265-FRMTQ,0.0498387,Low Risk,20.4,609.1,No
1934-SJVJK,0.4145267,Medium Risk,20.15,20.15,Yes
3838-OZURD,0.4610041,Medium Risk,105.0,7133.25,Yes
9269-CQOOL,0.44844392,Medium Risk,54.7,169.45,Yes
2017-CCBLH,0.03507198,Low Risk,20.0,141.6,No
7690-KPNCU,0.261681,Low Risk,73.05,4688.65,No
0536-BGFMZ,0.36708444,Medium Risk,20.5,563.05,No
2293-IJWPS,0.43158665,Medium Risk,100.75,5985.0,No
2845-HSJCY,0.42469358,Medium Risk,87.25,1258.6,Yes
5469-NUJUR,0.03011589,Low Risk,19.95,373.5,No
1184-PJVDB,0.51543415,High Risk,79.95,857.2,Yes
2625-TRCZQ,0.40867576,Medium Risk,49.65,2553.35,No
4102-HLENU,0.029469676,Low Risk,65.65,4322.85,No
7266-GSSJX,0.29686764,Low Risk,20.45,250.8,No
7722-VJRQD,0.08712768,Low Risk,60.95,4549.05,No
7073-QETQY,0.18756269,Low Risk,20.35,1359.5,No
9415-DPEWS,0.41156784,Medium Risk,88.35,1639.3,Yes
5624-RYAMH,0.3551214,Medium Risk,19.5,178.85,No
0196-JTUQI,0.526188,High Risk,75.2,633.85,No
7130-YXBRO,0.21260531,Low Risk,111.45,5315.1,No
9272-LSVYH,0.49714148,Medium Risk,70.15,735.5,No
7943-RQCHR,0.53891665,High Risk,94.75,889.9,Yes
3793-MMFUH,0.5338911,High Risk,95.05,1290.0,Yes
3249-ZPQRG,0.47547293,Medium Risk,78.45,330.05,Yes
2568-BRGYX,0.53174275,High Risk,70.2,237.95,Yes
3084-DOWLE,0.039851654,Low Risk,92.0,6474.4,No
1084-MNSMJ,0.027415432,Low Risk,85.5,4421.95,No
7721-JXEAW,0.29773346,Low Risk,41.05,2452.7,Yes
7249-WBIYX,0.53859186,High Risk,85.6,813.85,Yes
4238-HFHSN,0.41979042,Medium Risk,82.15,4904.85,No
6250-CGGUN,0.17460717,Low Risk,84.4,4484.05,No
5478-JJVZK,0.20898734,Low Risk,60.9,2033.85,No
7596-IIWYC,0.032296237,Low Risk,20.25,538.2,No
6567-HOOPW,0.57272667,High Risk,79.2,79.2,Yes
9793-WECQC,0.47058886,Medium Risk,95.3,2192.9,No
4291-HPAXL,0.4145267,Medium Risk,19.85,19.85,No
8999-YPYBV,0.022414599,Low Risk,84.35,3858.05,No
1839-FBNFR,0.09355013,Low Risk,19.85,854.8,No
3164-AALRN,0.48757154,Medium Risk,70.0,347.4,Yes
3071-MVJCD,0.04915647,Low Risk,82.3,5815.15,No
1697-BCSHV,0.2925946,Low Risk,66.8,3970.4,No
0562-KBDVM,0.02685038,Low Risk,44.6,3058.15,No
1131-SUEKT,0.35184422,Medium Risk,98.45,6145.2,No
3717-OEAUQ,0.5013752,High Risk,70.7,129.2,No
4538-WNTMJ,0.22142065,Low Risk,24.95,1165.9,No
3334-CTHOL,0.49343458,Medium Risk,49.95,49.95,Yes
4704-ERYFC,0.37787032,Medium Risk,69.25,1554.0,Yes
9432-RUVSL,0.032170206,Low Risk,102.5,4904.25,No
8060-HIWJJ,0.062056053,Low Risk,86.55,5632.55,No
7684-XSZIY,0.058049347,Low Risk,24.3,1643.25,No
9089-UOWJG,0.28664342,Low Risk,58.35,740.55,No
8621-MNIHH,0.41862103,Medium Risk,94.25,3217.55,Yes
8039-ACLPL,0.036294002,Low Risk,68.75,4888.2,No
9885-AIBVB,0.42599595,Medium Risk,85.8,2440.25,No
1934-MKPXS,0.2541167,Low Risk,20.1,620.55,No
2592-YKDIF,0.40633905,Medium Risk,20.35,20.35,No
2272-JKMSI,0.261342,Low Risk,110.8,6840.95,No
0471-LVHGK,0.49147376,Medium Risk,73.0,3001.2,Yes
9518-RWHZL,0.3890661,Medium Risk,100.05,6254.2,Yes
8714-CTZJW,0.4047559,Medium Risk,82.85,319.6,No
3569-EDBPQ,0.22484939,Low Risk,84.35,1938.05,No
3131-NWVFJ,0.19814277,Low Risk,19.55,294.5,No
7521-YXVZY,0.363288,Medium Risk,19.95,58.3,No
5419-CONWX,0.44777566,Medium Risk,99.8,442.85,Yes
6240-EURKS,0.4728741,Medium Risk,35.0,553.0,Yes
2373-NTKOD,0.46060488,Medium Risk,66.25,546.45,No
1970-KKFWL,0.05006727,Low Risk,23.3,797.1,No
6960-HVYXR,0.47685137,Medium Risk,76.0,76.0,Yes
9337-SRRNI,0.043102197,Low Risk,25.3,1673.8,No
0895-UADGO,0.031154841,Low Risk,44.55,343.45,No
5678-VFNEQ,0.2761213,Low Risk,104.1,7412.25,No
5977-CKHON,0.3087134,Medium Risk,92.55,4039.0,No
7024-OHCCK,0.5341031,High Risk,93.85,170.85,Yes
2692-BUCFV,0.3019998,Medium Risk,101.45,2948.6,No
7861-UVUFT,0.42528936,Medium Risk,84.3,1308.4,Yes
1830-GGFNM,0.050844356,Low Risk,94.55,6078.75,No
5302-BDJNT,0.47304142,Medium Risk,95.5,3418.2,No
5223-UZAVK,0.23096152,Low Risk,100.3,6603.8,No
4859-ZSRDZ,0.045515873,Low Risk,55.5,3166.9,No
5651-WYIPH,0.31127423,Medium Risk,49.85,865.75,No
9350-VLHMB,0.40486103,Medium Risk,89.55,6373.1,No
3498-LZGQZ,0.027519276,Low Risk,19.15,1177.05,No
8785-CJSHH,0.47861606,Medium Risk,99.8,5985.75,No
5357-TZHPP,0.5476267,High Risk,84.4,732.5,Yes
3870-SPZSI,0.03729196,Low Risk,113.05,7869.05,No
0680-DFNNY,0.53788126,High Risk,101.1,1504.05,Yes
7560-QRBXH,0.22077408,Low Risk,19.95,936.7,No
7077-XJMET,0.33852422,Medium Risk,74.15,741.4,No
8752-GHJFU,0.17054553,Low Risk,92.0,6585.2,No
6896-SRVYQ,0.45725483,Medium Risk,73.85,3122.4,No
7767-UXAGJ,0.46953714,Medium Risk,50.45,50.45,Yes
4652-ODEVH,0.03901532,Low Risk,24.45,1088.25,No
6510-UPNKS,0.4329265,Medium Risk,24.8,615.35,No
6718-BDGHG,0.3402089,Medium Risk,64.85,2908.2,No
9046-DQMTP,0.25386396,Low Risk,20.75,739.9,No
6439-LAJXL,0.25355712,Low Risk,68.95,593.85,No
1571-SAVHK,0.44435325,Medium Risk,99.95,1132.75,Yes
9052-VKDUW,0.20317027,Low Risk,109.4,7227.45,No
9546-CQJSU,0.47566527,Medium Risk,91.4,193.6,Yes
1666-JZPZT,0.3753018,Medium Risk,49.0,1291.35,No
5777-KJIRB,0.17078367,Low Risk,50.25,2023.55,No
0506-LVNGN,0.3987478,Medium Risk,75.55,349.65,Yes
7677-SJJJK,0.19600028,Low Risk,19.9,153.95,No
2480-EJWYP,0.29958346,Low Risk,97.8,5458.8,No
3253-HKOKL,0.27610603,Low Risk,100.3,5244.45,No
7055-HNEOJ,0.255366,Low Risk,55.8,154.55,No
5514-YQENT,0.027331516,Low Risk,111.15,4507.15,No
3211-AAPKX,0.4492681,Medium Risk,98.55,2031.95,No
8445-DNBAE,0.46953714,Medium Risk,50.05,50.05,No
2951-QOQTK,0.46688995,Medium Risk,80.8,332.45,Yes
2958-NHPPS,0.38301355,Medium Risk,20.85,473.9,No
6806-YDEUL,0.40090054,Medium Risk,19.5,106.8,No
1735-XMJVH,0.28748915,Low Risk,19.35,152.6,No
6890-PFRQX,0.29919332,Low Risk,69.5,1199.4,No
0222-CNVPT,0.27138576,Low Risk,48.8,2555.05,No
5899-OUVKV,0.4143676,Medium Risk,94.5,2979.2,No
8681-ICONS,0.2778835,Low Risk,20.65,654.85,No
1621-YNCJH,0.028183311,Low Risk,106.05,3834.4,No
3473-XIIIT,0.49920493,Medium Risk,100.0,1534.75,Yes
6362-QHAFM,0.49232098,Medium Risk,108.3,4586.15,No
7893-IXHRQ,0.43416122,Medium Risk,20.55,20.55,Yes
3070-BDOQC,0.055673778,Low Risk,99.65,5941.05,No
2952-QAYZF,0.44039986,Medium Risk,85.3,424.15,Yes
6234-PFPXL,0.31948188,Medium Risk,95.9,2234.95,No
9824-QCJPK,0.21223141,Low Risk,20.0,666.75,No
4763-PGDPO,0.54497164,High Risk,70.4,281.0,Yes
4283-IVYCI,0.2522065,Low Risk,64.95,547.8,No
1866-OBPNR,0.4600705,Medium Risk,74.6,74.6,No
8205-MQUGY,0.27157763,Low Risk,49.2,571.15,No
8970-ANWXO,0.19165872,Low Risk,73.75,1756.6,No
9480-BQJEI,0.20777532,Low Risk,92.3,5731.45,No
5394-SVGJV,0.43594795,Medium Risk,98.8,3475.55,Yes
6979-TNDEU,0.3895961,Medium Risk,19.2,156.85,No
9777-WJJPR,0.46062866,Medium Risk,88.65,2683.2,No
9283-LZQOH,0.54974425,High Risk,74.4,896.75,Yes
7079-QRCBC,0.4738625,Medium Risk,98.75,2407.3,Yes
9495-SKLKD,0.46588853,Medium Risk,95.95,4456.65,No
6048-UWKAL,0.050864317,Low Risk,105.4,6998.95,No
5067-DGXLL,0.3481582,Medium Risk,20.25,36.8,No
5469-CTCWN,0.17877463,Low Risk,106.0,6547.7,Yes
9851-QXEEQ,0.5544252,High Risk,104.7,4346.4,Yes
6281-FKEWS,0.58477414,High Risk,49.05,2265.0,No
8898-KASCD,0.20262776,Low Risk,35.55,1309.15,No
9242-TKFSV,0.027934784,Low Risk,65.1,4754.3,No
9290-SHCMB,0.47101697,Medium Risk,96.85,1235.55,No
0743-HNPFG,0.15707295,Low Risk,69.75,3562.5,No
2277-BKJKN,0.12386726,Low Risk,99.2,7213.75,No
9809-IMGCQ,0.5619342,High Risk,96.7,2082.95,Yes
5208-HFSBT,0.2852604,Low Risk,55.05,102.75,Yes
5035-PGZXH,0.2692063,Low Risk,106.8,5914.4,No
8695-WDYEA,0.23573412,Low Risk,51.25,51.25,No
6543-JXSOO,0.107027456,Low Risk,57.75,1282.85,No
8016-ZMGMO,0.16918673,Low Risk,70.85,4738.85,No
8605-ITULD,0.40633905,Medium Risk,19.55,19.55,No
3254-YRILK,0.56196135,High Risk,88.2,1775.8,Yes
6416-YJTTB,0.31587327,Medium Risk,79.5,795.65,No
2667-WYLWJ,0.2583536,Low Risk,19.75,145.0,Yes
4472-VESGY,0.21320765,Low Risk,98.15,4993.4,No
3195-TQDZX,0.32940504,Medium Risk,20.25,61.45,No
3128-YOVTD,0.18586637,Low Risk,79.15,4018.55,No
0529-ONKER,0.5248603,High Risk,75.65,1146.65,Yes
1728-CXQBE,0.45291817,Medium Risk,94.25,6081.4,No
7041-TXQJH,0.30364817,Medium Risk,40.2,1478.85,No
5014-GSOUQ,0.031790286,Low Risk,19.95,243.65,No
5724-BIDBU,0.19505581,Low Risk,55.35,2633.95,No
0481-SUMCB,0.49441543,Medium Risk,102.15,4735.35,No
1769-GRUIK,0.49954623,Medium Risk,71.1,1247.75,No
5240-IJOQT,0.56674606,High Risk,74.7,74.7,Yes
8819-WFGGJ,0.07883606,Low Risk,54.1,3794.5,No
7427-AUFPY,0.059388336,Low Risk,19.65,1008.7,No
2811-POVEX,0.3912784,Medium Risk,88.45,2130.55,No
1092-GANHU,0.39686963,Medium Risk,76.65,1313.55,Yes
7898-PDWQE,0.045479573,Low Risk,80.4,5727.15,No
9972-EWRJS,0.111082934,Low Risk,19.25,1372.9,No
9314-IJWSQ,0.52210635,High Risk,84.8,1203.9,No
0661-XEYAN,0.43211982,Medium Risk,25.8,25.8,Yes
5799-JRCZO,0.04082575,Low Risk,19.5,1215.1,No
1921-KYSAY,0.3749084,Medium Risk,68.6,2877.05,No
6198-RTPMF,0.5792377,High Risk,92.6,1579.7,No
2924-KHUVI,0.25053245,Low Risk,100.55,5514.95,No
1925-GMVBW,0.4143163,Medium Risk,20.55,96.1,No
7881-EVUAD,0.28323054,Low Risk,42.6,72.4,Yes
6184-DYUOB,0.3481833,Medium Risk,19.6,55.25,No
9207-ZPANB,0.26784602,Low Risk,67.45,2443.3,No
5766-XQXMQ,0.14875957,Low Risk,68.85,1970.5,Yes
9327-QSDED,0.40127182,Medium Risk,43.55,335.4,No
1656-DRSMG,0.39503303,Medium Risk,109.85,7002.95,No
3012-VFFMN,0.36078563,Medium Risk,20.65,158.95,No
2984-AFWNC,0.49244538,Medium Risk,95.4,293.15,No
0640-YJTPY,0.049213044,Low Risk,21.0,1493.75,No
8096-LOIST,0.27426046,Low Risk,56.2,1093.4,No
9764-REAFF,0.047762517,Low Risk,18.4,1057.85,No
3703-VAVCL,0.4107971,Medium Risk,90.0,190.05,Yes
7107-UBYKY,0.35581437,Medium Risk,25.75,882.55,No
4881-GQJTW,0.34458905,Medium Risk,19.6,300.4,No
8519-QJGJD,0.43370888,Medium Risk,75.35,1025.95,Yes
7876-DNYAP,0.08140243,Low Risk,19.8,1436.95,No
7905-NJMXS,0.25818402,Low Risk,64.2,475.0,No
2882-WDTBA,0.08999175,Low Risk,75.75,5388.15,No
2091-GPPIQ,0.031038633,Low Risk,78.95,5730.15,No
6326-MTTXK,0.53550494,High Risk,100.85,819.55,Yes
5071-FBJFS,0.26126683,Low Risk,50.3,217.1,No
2796-UUZZO,0.33708644,Medium Risk,80.3,4896.35,No
2429-AYKKO,0.050308406,Low Risk,19.85,1434.1,No
9798-OPFEM,0.032786313,Low Risk,21.1,937.1,No
0330-IVZHA,0.54497164,High Risk,69.95,330.15,Yes
3794-NFNCH,0.30368206,Medium Risk,50.0,1474.9,No
5193-QLVZB,0.0795564,Low Risk,104.75,6536.5,No
7114-AEOZE,0.053513236,Low Risk,19.85,1128.1,No
2886-KEFUM,0.30492476,Medium Risk,107.5,6873.75,Yes
5522-NYKPB,0.4349241,Medium Risk,85.9,2199.05,No
4237-RLAQD,0.43845978,Medium Risk,45.85,45.85,Yes
9957-YODKZ,0.44409496,Medium Risk,80.8,457.1,No
6518-KZXCB,0.041550077,Low Risk,25.25,566.5,No
2245-ADZFJ,0.033222444,Low Risk,80.55,2471.6,No
7776-QGYJC,0.24929206,Low Risk,81.5,3107.3,No
9313-QOLTZ,0.34570462,Medium Risk,20.9,518.3,No
9651-GTSAQ,0.25297195,Low Risk,106.1,5769.75,Yes
3186-BAXNB,0.4257506,Medium Risk,91.7,91.7,Yes
4672-FOTSD,0.21181303,Low Risk,67.25,832.3,No
0637-YLETY,0.46088377,Medium Risk,95.6,1555.65,Yes
9818-XQCUV,0.3742224,Medium Risk,20.35,45.3,No
7338-ERIVA,0.3197012,Medium Risk,45.05,1790.6,No
1157-BQCUW,0.56674606,High Risk,74.95,74.95,Yes
8259-NFJTV,0.28690037,Low Risk,34.65,246.6,No
3223-DWFIO,0.5613311,High Risk,69.35,261.65,No
2660-EMUBI,0.57274824,High Risk,95.35,898.35,Yes
6968-GMKPR,0.3506544,Medium Risk,81.55,4509.5,No
4751-ERMAN,0.057664156,Low Risk,75.4,5480.25,No
1436-ZMJAN,0.3961128,Medium Risk,67.8,653.15,No
3292-PBZEJ,0.4562424,Medium Risk,111.4,1183.05,No
0799-DDIHE,0.4439132,Medium Risk,46.3,639.45,No
3070-FNFZQ,0.037761733,Low Risk,20.4,478.75,No
2812-SFXMJ,0.4145267,Medium Risk,20.05,20.05,No
7675-OZCZG,0.43914005,Medium Risk,45.0,127.1,Yes
5014-WUQMG,0.21532322,Low Risk,96.1,4391.45,No
5312-TSZVC,0.2128448,Low Risk,19.65,270.6,No
2003-CKLOR,0.58699477,High Risk,99.5,6710.5,Yes
0993-OSGPT,0.13071871,Low Risk,60.65,3975.9,No
9254-RBFON,0.28191516,Low Risk,98.6,1704.95,Yes
1205-WNWPJ,0.3060582,Medium Risk,59.5,415.95,Yes
9391-EOYLI,0.5108956,High Risk,80.45,950.2,Yes
7108-DGVUU,0.24724816,Low Risk,71.7,1497.05,No
2782-JEEBU,0.2823109,Low Risk,36.0,780.15,No
5127-BZENZ,0.28239855,Low Risk,65.2,3512.15,No
2720-FVBQP,0.42904672,Medium Risk,48.95,273.25,No
9906-NHHVC,0.06232748,Low Risk,53.5,3517.9,No
4522-XRWWI,0.33426854,Medium Risk,80.45,3375.9,No
3766-EJLFL,0.045828946,Low Risk,109.05,7508.55,No
5939-SXWHM,0.05787315,Low Risk,26.3,1245.05,No
8152-UOBNY,0.3161941,Medium Risk,106.8,5347.95,No
7351-KYHQH,0.36925793,Medium Risk,64.95,493.65,No
7643-RCHXS,0.05280603,Low Risk,19.35,1263.85,No
8246-SHFGA,0.35401505,Medium Risk,21.1,385.55,No
8387-MOJJT,0.49029946,Medium Risk,77.95,3384.0,Yes
0620-XEFWH,0.3566251,Medium Risk,18.85,84.2,No
6485-QXWWE,0.041783206,Low Risk,26.0,1638.7,No
2761-OCIAX,0.43647563,Medium Risk,74.7,165.4,Yes
7321-VGNKU,0.5103967,High Risk,70.35,120.25,No
5327-CNLUQ,0.043493245,Low Risk,96.9,4473.45,No
7552-KEYGT,0.045623217,Low Risk,19.55,520.55,No
5816-JMLGY,0.032402445,Low Risk,80.4,5717.85,No
3068-OMWZA,0.60704297,High Risk,88.8,88.8,Yes
2927-QRRQV,0.40348607,Medium Risk,94.65,4312.5,No
6032-KRXXO,0.46438622,Medium Risk,90.25,2755.35,Yes
7459-RRWQZ,0.2954403,Low Risk,64.65,994.55,Yes
6265-SXWBU,0.3064655,Medium Risk,95.75,6511.25,No
7941-RCJOW,0.041428752,Low Risk,19.55,1218.65,No
6374-NTQLP,0.056132484,Low Risk,104.1,7447.7,No
4154-AQUGT,0.30763108,Medium Risk,89.05,1169.35,Yes
2387-KDZQY,0.15723042,Low Risk,20.1,279.5,No
3584-WKTTW,0.2656816,Low Risk,111.55,5720.35,No
3399-BMLVW,0.029372653,Low Risk,60.5,3121.45,No
1971-DTCZB,0.03133817,Low Risk,90.95,6468.6,No
3092-IGHWF,0.24727254,Low Risk,87.4,5918.8,Yes
3374-PZLXD,0.35317343,Medium Risk,19.7,675.6,No
3813-DHBBB,0.08982723,Low Risk,50.95,3521.7,No
2812-REYAT,0.21521679,Low Risk,20.05,923.1,No
6518-PPLMZ,0.07093202,Low Risk,19.4,1110.35,No
4939-KYYPY,0.31626582,Medium Risk,59.45,1611.65,No
8017-LXHFA,0.62862957,High Risk,94.75,2293.6,Yes
5930-GBIWP,0.03915534,Low Risk,81.5,5553.25,No
6022-KOUQO,0.39799705,Medium Risk,29.05,44.75,No
6352-TWCAU,0.49283955,Medium Risk,86.45,3029.1,Yes
2361-UPSND,0.17666528,Low Risk,70.6,3231.05,No
6035-RIIOM,0.06605687,Low Risk,97.2,5129.45,No
2929-QNSRW,0.27980956,Low Risk,98.25,5508.35,Yes
1262-OPMFY,0.39774778,Medium Risk,75.75,655.9,Yes
9504-DSHWM,0.26743466,Low Risk,59.2,1191.2,No
5035-BVCXS,0.38803884,Medium Risk,75.9,866.4,No
6267-DCFFZ,0.45348004,Medium Risk,90.05,2627.2,No
3533-UVMOM,0.04714777,Low Risk,70.95,4741.45,No
2439-LYPMQ,0.6350052,High Risk,102.6,4009.2,No
4248-QPAVC,0.33562106,Medium Risk,85.35,1463.45,Yes
1899-VXWXM,0.33044553,Medium Risk,106.1,5082.8,Yes
1478-VPOAD,0.4088675,Medium Risk,43.8,43.8,No
9995-HOTOH,0.06792933,Low Risk,59.0,3707.6,No
2988-PLAHS,0.44973832,Medium Risk,69.95,220.45,No
1371-OJCEK,0.31203613,Medium Risk,24.35,1133.7,No
4999-IEZLT,0.2401212,Low Risk,29.45,1983.15,No
8883-ANODQ,0.060772408,Low Risk,84.4,5746.75,No
4690-LLKUA,0.37840152,Medium Risk,45.05,770.6,Yes
2351-RRBUE,0.35633883,Medium Risk,20.65,134.05,No
5980-BDHPY,0.04328752,Low Risk,87.1,6230.1,No
1498-DQNRX,0.33804074,Medium Risk,19.85,573.05,No
9469-WEJBT,0.32965124,Medium Risk,90.35,3419.3,No
3331-HQDTW,0.26062095,Low Risk,109.8,3587.25,Yes
9490-DFPMD,0.52555823,High Risk,84.65,3541.35,Yes
2581-VKIRT,0.15594848,Low Risk,65.5,3801.3,No
5442-XSDCW,0.5310355,High Risk,79.5,868.5,Yes
7426-WEIJX,0.3096658,Medium Risk,80.95,4859.1,No
2851-MMUTZ,0.23477428,Low Risk,56.15,1439.35,No
3049-NDXFL,0.48060796,Medium Risk,85.8,85.8,Yes
8580-AECUZ,0.6095753,High Risk,79.1,79.1,Yes
3307-TLCUD,0.31667677,Medium Risk,34.4,592.75,No
6625-FLENO,0.040509146,Low Risk,20.75,1185.95,No
2967-MXRAV,0.46045497,Medium Risk,18.8,18.8,No
7963-GQRMY,0.38191494,Medium Risk,44.3,134.5,Yes
8189-HBVRW,0.23024045,Low Risk,90.8,4921.2,No
4163-KIUHY,0.36975932,Medium Risk,25.6,901.25,No
1228-FZFRV,0.32512814,Medium Risk,105.95,5341.8,Yes
3500-NSDOA,0.052425276,Low Risk,70.8,4859.95,No
1171-TYKUR,0.42782083,Medium Risk,25.4,1139.2,No
3761-FLYZI,0.34894052,Medium Risk,108.8,7082.45,No
2058-DCJBE,0.53174275,High Risk,69.75,324.6,Yes
5364-XYIRR,0.56895816,High Risk,94.65,4812.75,Yes
4829-AUOAX,0.48395228,Medium Risk,96.05,4399.5,Yes
1219-NNDDO,0.4810321,Medium Risk,76.85,663.55,No
8388-DMKAE,0.035168566,Low Risk,20.25,174.65,No
4403-BWPAY,0.23928809,Low Risk,24.8,321.7,No
9659-QEQSY,0.317664,Medium Risk,115.65,5125.5,No
5405-ZMYXQ,0.526188,High Risk,74.6,548.9,No
5047-LHVLY,0.41349912,Medium Risk,50.15,50.15,Yes
1442-OKRJE,0.24680223,Low Risk,103.15,7031.3,No
4737-AQCPU,0.0451456,Low Risk,72.1,5016.65,No
9158-VCTQB,0.23596735,Low Risk,113.6,4594.95,Yes
2808-CHTDM,0.064808615,Low Risk,25.1,611.45,No
6311-UEUME,0.47220337,Medium Risk,78.9,2384.15,Yes
0793-TWELN,0.27021518,Low Risk,80.15,319.85,No
3283-WCWXT,0.037334513,Low Risk,25.4,153.3,No
1060-ENTOF,0.21975914,Low Risk,105.4,7035.6,No
0999-QXNSA,0.31896064,Medium Risk,45.75,344.2,No
5451-MHQOF,0.24364199,Low Risk,24.45,1431.65,No
4836-WNFNO,0.048593055,Low Risk,25.0,1849.2,No
9225-BZLNZ,0.034104817,Low Risk,85.25,6083.1,No
0354-VXMJC,0.04125883,Low Risk,19.6,426.65,No
4422-QVIJA,0.35435012,Medium Risk,50.15,1655.35,No
9365-SRSZE,0.44999224,Medium Risk,70.55,1943.9,No
6839-ITVZJ,0.26010582,Low Risk,60.05,1616.15,Yes
8332-OSJDW,0.3109973,Medium Risk,26.4,314.95,No
4735-BJKOU,0.034112938,Low Risk,20.15,804.85,No
0274-JKUJR,0.3889869,Medium Risk,58.85,465.7,No
5740-YHGTW,0.22122991,Low Risk,97.55,6669.05,No
8917-SZTTJ,0.056315094,Low Risk,19.65,1161.75,No
1696-MZVAU,0.2693631,Low Risk,25.25,947.75,No
7359-WWYJV,0.06777375,Low Risk,114.45,8375.05,No
0375-HVGXO,0.5135292,High Risk,34.7,34.7,Yes
4906-ZHGPK,0.22828843,Low Risk,70.7,3770.0,No
8593-WHYHV,0.50409406,High Risk,85.3,264.8,Yes
3795-GWTRD,0.04175347,Low Risk,75.55,4707.85,No
1298-PHBTI,0.05571701,Low Risk,84.8,6152.4,No
6223-DHJGV,0.31172132,Medium Risk,20.65,958.1,No
6961-MJKBO,0.041820955,Low Risk,20.45,943.0,No
6097-EQISJ,0.31300914,Medium Risk,102.45,6615.15,Yes
4423-YLHDV,0.33773494,Medium Risk,104.4,2200.25,Yes
8158-WPEZG,0.30760616,Medium Risk,35.65,425.1,No
0107-YHINA,0.6366001,High Risk,99.75,99.75,Yes
4918-FYJNT,0.44842598,Medium Risk,90.45,5044.8,No
0727-BNRLG,0.06633715,Low Risk,97.65,6743.55,No
